2026-05-11 15:20:54 | INFO | application.py:148 | start | Init ReMe with config: {"backend":"","app_name":"ReMe","working_dir":"C:\\Users\\ADMIN\\.qwenpaw\\workspaces\\QwenPaw_QA_Agent_0.2","enable_logo":false,"language":"","thread_pool_max_workers":-1,"ray_max_workers":-1,"log_to_console":false,"disabled_flows":[],"enabled_flows":[],"mcp_servers":{},"mcp":{"transport":"stdio","host":"0.0.0.0","port":8001},"http":{"host":"0.0.0.0","port":8001,"timeout_keep_alive":3600,"limit_concurrency":1000},"cmd":{"flow":""},"ops":{},"flows":{},"as_llms":{"default":{"backend":"openai","model_name":"qwen3.5-plus"}},"as_llm_formatters":{"default":{"backend":"openai"}},"as_token_counters":{"default":{"backend":"rule","token_count_estimate_divisor":3.75}},"llms":{},"embedding_models":{"default":{"backend":"openai","model_name":"","dimensions":1024,"use_dimensions":false,"enable_cache":true,"max_batch_size":10,"max_cache_size":3000,"max_input_length":8192,"api_key":"","base_url":""}},"vector_stores":{},"file_stores":{"default":{"backend":"local","embedding_model":"default","store_name":"memory","vector_enabled":false,"fts_enabled":true}},"token_counters":{},"file_watchers":{"default":{"backend":"full","file_store":"default","watch_paths":["C:\\Users\\ADMIN\\.qwenpaw\\workspaces\\QwenPaw_QA_Agent_0.2\\MEMORY.md","C:\\Users\\ADMIN\\.qwenpaw\\workspaces\\QwenPaw_QA_Agent_0.2\\memory.md","C:\\Users\\ADMIN\\.qwenpaw\\workspaces\\QwenPaw_QA_Agent_0.2\\memory"],"suffix_filters":[".md"],"recursive":false,"rebuild_index_on_start":true}},"metadata":{}}
2026-05-11 15:20:54 | INFO | application.py:167 | start | Thread pool is disabled (thread_pool_max_workers <= 0)
2026-05-11 15:20:54 | INFO | base_embedding_model.py:158 | _load_cache | No cache file found at C:\Users\ADMIN\.qwenpaw\workspaces\QwenPaw_QA_Agent_0.2\embedding_cache\embedding_cache.jsonl, starting with empty cache
2026-05-11 15:20:54 | INFO | local_file_store.py:121 | start | LocalFileStore 'memory' ready: 0 chunks, metadata at C:\Users\ADMIN\.qwenpaw\workspaces\QwenPaw_QA_Agent_0.2\file_store\memory_file_metadata.json
2026-05-11 15:20:54 | INFO | base_file_watcher.py:89 | start | Started watching: ['C:\\Users\\ADMIN\\.qwenpaw\\workspaces\\QwenPaw_QA_Agent_0.2\\MEMORY.md', 'C:\\Users\\ADMIN\\.qwenpaw\\workspaces\\QwenPaw_QA_Agent_0.2\\memory.md', 'C:\\Users\\ADMIN\\.qwenpaw\\workspaces\\QwenPaw_QA_Agent_0.2\\memory']
2026-05-11 15:20:54 | INFO | application.py:277 | start | ReMe Application started
2026-05-11 15:20:54 | INFO | application.py:148 | start | Init ReMe with config: {"backend":"","app_name":"ReMe","working_dir":"C:\\Users\\ADMIN\\.qwenpaw\\workspaces\\default","enable_logo":false,"language":"","thread_pool_max_workers":-1,"ray_max_workers":-1,"log_to_console":false,"disabled_flows":[],"enabled_flows":[],"mcp_servers":{},"mcp":{"transport":"stdio","host":"0.0.0.0","port":8001},"http":{"host":"0.0.0.0","port":8001,"timeout_keep_alive":3600,"limit_concurrency":1000},"cmd":{"flow":""},"ops":{},"flows":{},"as_llms":{"default":{"backend":"openai","model_name":"qwen3.5-plus"}},"as_llm_formatters":{"default":{"backend":"openai"}},"as_token_counters":{"default":{"backend":"rule","token_count_estimate_divisor":3.75}},"llms":{},"embedding_models":{"default":{"backend":"openai","model_name":"","dimensions":1024,"use_dimensions":false,"enable_cache":true,"max_batch_size":10,"max_cache_size":3000,"max_input_length":8192,"api_key":"","base_url":""}},"vector_stores":{},"file_stores":{"default":{"backend":"local","embedding_model":"default","store_name":"memory","vector_enabled":false,"fts_enabled":true}},"token_counters":{},"file_watchers":{"default":{"backend":"full","file_store":"default","watch_paths":["C:\\Users\\ADMIN\\.qwenpaw\\workspaces\\default\\MEMORY.md","C:\\Users\\ADMIN\\.qwenpaw\\workspaces\\default\\memory.md","C:\\Users\\ADMIN\\.qwenpaw\\workspaces\\default\\memory"],"suffix_filters":[".md"],"recursive":false,"rebuild_index_on_start":true}},"metadata":{}}
2026-05-11 15:20:54 | INFO | application.py:167 | start | Thread pool is disabled (thread_pool_max_workers <= 0)
2026-05-11 15:20:54 | INFO | base_embedding_model.py:158 | _load_cache | No cache file found at C:\Users\ADMIN\.qwenpaw\workspaces\default\embedding_cache\embedding_cache.jsonl, starting with empty cache
2026-05-11 15:20:54 | INFO | local_file_store.py:121 | start | LocalFileStore 'memory' ready: 0 chunks, metadata at C:\Users\ADMIN\.qwenpaw\workspaces\default\file_store\memory_file_metadata.json
2026-05-11 15:20:54 | INFO | base_file_watcher.py:89 | start | Started watching: ['C:\\Users\\ADMIN\\.qwenpaw\\workspaces\\default\\MEMORY.md', 'C:\\Users\\ADMIN\\.qwenpaw\\workspaces\\default\\memory.md', 'C:\\Users\\ADMIN\\.qwenpaw\\workspaces\\default\\memory']
